udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
430,100228095,122698,,,754,
430,100228096,122698,,,754,
430,100228097,122698,,,961,
430,100228098,122698,,,961,
430,100228105,122698,,,439,
430,100228106,122698,,,439,
430,100228111,122698,,,169,
430,100228112,122698,,,392,
430,100228113,122698,,,674,
430,100228114,122698,,,202,
430,100228115,122698,,,787,
430,100228116,122698,,,428,
430,100228117,122698,,,111,
430,100228118,122698,,,671,
430,100228119,122698,,,672,
430,100228120,122698,,,676,
430,100228121,122698,,,675,
430,100228122,122698,,,788,
430,100228123,122698,,,789,
430,100228124,122698,,,791,
430,100228125,122698,,,792,
430,100228126,122698,,,793,
430,100228127,122698,,,164,
430,100228128,122698,,,399,
430,100228129,122698,,,163,
430,100228130,122698,,,393,
430,100228131,122698,,,673,
430,100228132,122698,,,795,
430,100228133,122698,,,796,
430,100228134,122698,,,285,
430,100228135,122698,,,787,
430,100228136,122698,,,676,
430,100228137,122698,,,676,
430,100228138,122698,,,672,
430,100228139,122698,,,672,
430,100228140,122698,,,674,
430,100228141,122698,,,674,
430,100228142,122698,,,443,
430,100228143,122698,,,754,
430,100228144,122698,,,754,
430,100228145,122698,,,961,
430,100228146,122698,,,961,
430,100228153,122698,,,285,
430,100228154,122698,,,251,
430,100228155,122698,,,251,
430,100228156,122698,,,251,
430,100228157,122698,,,251,
430,100228158,122698,,,251,
430,100228159,122698,,,178,
430,100228160,122698,,,401,
430,100228161,122698,,,684,
430,100228162,122698,,,201,
430,100228163,122698,,,798,
430,100228164,122698,,,429,
430,100228165,122698,,,114,
430,100228166,122698,,,681,
430,100228167,122698,,,682,
430,100228168,122698,,,339,
430,100228169,122698,,,683,
430,100228170,122698,,,799,
430,100228171,122698,,,800,
430,100228172,122698,,,252,
430,100228173,122698,,,802,
430,100228174,122698,,,803,
430,100228175,122698,,,440,
430,100228176,122698,,,177,
430,100228177,122698,,,389,
430,100228178,122698,,,679,
430,100228179,122698,,,805,
430,100228180,122698,,,806,
430,100228181,122698,,,401,
430,100228182,122698,,,339,
430,100228183,122698,,,339,
430,100228184,122698,,,682,
430,100228185,122698,,,682,
430,100228186,122698,,,684,
430,100228187,122698,,,684,
430,100228188,122698,,,443,
